name,lat,lon,address,postcode,risk
21 SEVEN MARKET,43.660927,-79.43038,1000 BLOOR ST W,M6H 1L8,0
2U4U EXPRESS MARKET (FINCH MARKET),43.779218,-79.41705,15B FINCH AVE W,M2N 7K4,1
7-ELEVEN,43.651066,-79.4111,883 DUNDAS ST W,M6J 1V9,2
ABABIL SUPER MARKET,43.702061,-79.297285,436 DAWES RD,M4B 2E8,1
ABI Retail Trading Super Market,43.800791,-79.300106,3852 FINCH AVE E,M1T 3T8,0
ADONAI,43.765194,-79.191092,4379 KINGSTON RD,M1E 2M9,1
ADONIS,43.729398,-79.290986,20 ASHTONBEE RD,M1L 4R5,2
AFGHAN SUPERMARKET,43.757999,-79.224466,549 MARKHAM RD,M1H 2A3,1
AFRICAN FOODS WHOLESALERS,43.748592,-79.51833,50 EDDYSTONE AVE,M3N 1H4,0
AFRICAN KING MEAT SHOP,43.724234,-79.509103,2223 JANE ST,M3M 1A5,1
AFRO CARIBBEAN FOODS,43.719355,-79.507951,2121 JANE ST,M3M 1A2,1
AGINCOURT FRUIT MARKET,43.783939,-79.292253,3850 SHEPPARD AVE E,M1T 3L4,0
AL-AMAAN SUPERMARKET,43.792869,-79.259167,20 NUGGET AVE,M1S 3A7,1
AL-MUMTAZ SUPER MARKET & FARM,43.745083,-79.298965,10 TOWER DR,M1R 3N9,2
AMBAL TRADING,43.667576,-79.36929,591 PARLIAMENT ST,M4X 1P9,1
APIRAMI,43.750606,-79.486962,3585 KEELE ST,M3J 3H5,1
ARZ FINE FOOD SUPERMARKET,43.743731,-79.300923,1909 LAWRENCE AVE E,M1R 2Y6,1
ASAFO MARKET,43.767198,-79.515994,391 DRIFTWOOD AVE,M3N 2P6,1
ASIAN FOOD CENTRE,43.742265,-79.604566,10 WESTMORE DR,M9V 3Z7,1
AUSEF HALAL FOOD CENTRE AND TAKE OUT,43.70064,-79.51804,1943 WESTON RD,M9N 1W8,1
AVA ESFEHAN (FOOD MARKET),43.763812,-79.399167,193 SHEPPARD AVE E,M2N 3A8,2
Al Premium Food Mart,43.72857,-79.285403,1970 EGLINTON AVE E,M1L 2M6,2
Aldi Supermarket,43.68875,-79.300428,2622 DANFORTH AVE,M4C 1L7,1
Aria Emporium Grocery,43.7695,-79.183287,4234 LAWRENCE AVE E,M1E 2S5,0
Aslam Halal Meat & Super Market,43.766148,-79.191674,4352 KINGSTON RD,M1E 2M8,1
Auntie Anneeta West Indian Market,43.756971,-79.278438,1260 KENNEDY RD,M1P 2L3,2
BALA SUPERMARKET,43.640533,-79.4369,1474 QUEEN ST W,M6K 1M4,1
BAMYAN SUPERMARKET,43.771991,-79.284021,2 ANTRIM CRES,M1P 2N3,1
BANTAMA SUPERMARKET,43.75362,-79.542273,2300 FINCH AVE W,M9M 2Y3,1
BARAKA SUPERMARKET,43.69586,-79.275957,60 DANFORTH RD,M1L 3W4,1
BATALA SUPERMARKET,43.743706,-79.219518,200 MARKHAM RD,M1J 3C2,1
BEACH FOOD MART,43.670737,-79.298268,2040 QUEEN ST E,M4L 1J4,2
BENGAL GROCERY & VARIETY,43.659237,-79.4391,1220 BLOOR ST W,M6H 1N3,1
BEST CHOICE FOOD CENTRE,43.695656,-79.451467,1860 EGLINTON AVE W,M6E 2J4,2
BESTCO FOOD MART,43.73319,-79.588748,1701 MARTIN GROVE RD,M9V 4N4,1
BESTCO FRESH FOOD MART,43.796456,-79.270198,175 COMMANDER BLVD,M1S 3M7,2
BLOOR STREET MARKET,43.669641,-79.388688,55 BLOOR ST W,M4W 1A5,1
BLOOR SUPERFRESH,43.6662,-79.406555,384 BLOOR ST W,M5S 1X2,1
BLUE SKY SUPERMARKET,43.720273,-79.510874,1611 WILSON AVE,M3L 1A5,2
BOMBAY BAZAAR,43.759525,-79.223405,3601 LAWRENCE AVE E,M1G 1P5,1
BOMBAY BAZAAR,43.753635,-79.253204,2875 LAWRENCE AVE E,M1P 2S8,1
BOSTON VARIETY AND FISH,43.67498,-79.457549,1652 ST CLAIR AVE W,M6N 1H8,0
BRIONI SUPERMARKET LTD.,43.711307,-79.516907,169 GARY DR,M9N 2M2,2
BRUNO'S  VALUMART,43.746385,-79.32562,83 UNDERHILL DR,M3A 2J8,1
BRUNO'S FINE FOODS,43.659943,-79.514045,4242 DUNDAS ST W,M8X 1Y6,1
BRUNO'S FINE FOODS,43.689687,-79.39513,1560 YONGE ST,M4T 2S9,2
BRUNO'S FINE FOODS,43.736609,-79.419945,2055 AVENUE RD,M5M 4A7,1
BTRUST SUPERMARKET,43.726209,-79.482973,1105 WILSON AVE,M3M 1H2,2
BUON APPETITE FINE FOODS LIMITED,43.787122,-79.328972,2764 VICTORIA PARK AVE,M2J 4A8,1
Bahar Wholesale and Retail Itd.,0,0,,,0
CABBAGE TOWN ORGANICS,43.66467,-79.36812,499 PARLIAMENT ST,M4X 1P3,2
CACTUS,43.756847,-79.517138,1911 FINCH AVE W,M3N 2V2,0
CARLO'S NO FRILLS,43.795554,-79.420077,6464 YONGE ST,M2M 3X4,0
CARLO'S NO FRILLS,43.719818,-79.509437,1591 WILSON AVE,M3L 1A5,0
CENTRA FOOD MARKET (NY),43.748631,-79.561662,2592 FINCH AVE W,M9M 2G3,2
CENTRO TRATTORIA & FORMAGGI,43.677771,-79.444919,1224 ST CLAIR AVE W,M6E 1B4,1
CESAR'S LATIN PRODUCTS,43.730392,-79.466888,891 WILSON AVE,M3K 1E6,1
CHARLOO'S WEST INDIAN FOODS,43.730931,-79.305848,1646 VICTORIA PARK AVE,M1R 1P7,1
CHEESE BOUTIQUE,43.638506,-79.475188,45 RIPLEY AVE,M6S 3P2,2
CHI THANH FOOD MARKET,43.724234,-79.509103,2231 JANE ST,M3M 1A5,1
CHRIS'S NO FRILLS,43.650456,-79.580135,460 RENFORTH DR,M9C 2N2,0
CHRISTOPHER'S NO FRILLS,43.742456,-79.31041,1450 LAWRENCE AVE E,M4A 2S8,1
CHUNG HING SUPERMARKET,43.803562,-79.29348,17 MILLIKEN BLVD,M1V 1V3,2
COMMISSO BROS. & RACCO BAKERY,43.748427,-79.517366,33 EDDYSTONE AVE,M3N 1H5,1
